tab_caixa_id_caixa;tab_caixa_id_entidade;tab_caixa_id_pdv;tab_caixa_dataini;tab_caixa_trocoini;tab_caixa_datafim;tab_caixa_trocofim;tab_caixa_obs
1;2;1;"2024-12-31 09:59:48";0.00;"2024-12-31 18:42:44";72.00;
2;2;1;"2025-01-02 08:10:49";72.00;"2025-01-02 20:16:21";116.80;
3;2;1;"2025-01-03 08:12:05";116.80;"2025-01-03 20:07:18";132.80;
4;2;1;"2025-01-04 08:16:07";132.80;"2025-01-04 20:10:51";140.15;
5;1;1;"2025-01-05 08:48:41";140.15;"2025-01-05 13:54:41";141.95;
6;2;1;"2025-01-06 08:04:06";141.95;"2025-01-06 20:06:57";189.30;
7;2;1;"2025-01-07 07:58:38";189.30;"2025-01-07 20:09:42";235.85;
8;2;1;"2025-01-08 08:00:33";235.85;"2025-01-08 20:18:21";290.25;
9;2;1;"2025-01-09 08:01:34";290.25;"2025-01-09 20:23:57";160.55;
10;2;1;"2025-01-10 07:59:26";160.55;"2025-01-10 19:58:11";253.55;
11;2;1;"2025-01-11 08:03:04";253.55;"2025-01-11 19:59:36";220.15;
12;2;1;"2025-01-12 08:59:10";220.15;"2025-01-12 14:56:15";232.75;
13;2;1;"2025-01-13 07:59:18";232.75;"2025-01-13 20:02:47";294.35;
14;2;1;"2025-01-14 08:11:40";294.35;"2025-01-14 20:03:44";310.40;
15;2;1;"2025-01-15 07:56:28";310.40;"2025-01-15 20:12:01";339.05;
16;2;1;"2025-01-16 09:27:06";339.05;"2025-01-16 20:01:16";334.75;
17;2;1;"2025-01-17 08:02:29";334.75;"2025-01-17 20:01:14";273.05;
18;2;1;"2025-01-18 07:59:31";273.05;"2025-01-18 20:02:49";323.75;
19;2;1;"2025-01-19 08:58:11";323.75;"2025-01-19 14:57:37";281.35;
20;2;1;"2025-01-20 07:52:05";281.35;"2025-01-20 20:02:43";339.95;
21;2;1;"2025-01-21 07:55:00";339.95;"2025-01-21 20:18:29";228.55;
