tab_caixasangria_id_caixasangria;tab_caixasangria_id_caixa;tab_caixasangria_id_entidade;tab_caixasangria_id_especie;tab_caixasangria_data;tab_caixasangria_valor;tab_caixasangria_obs;tab_caixasangria_conferido
1;2;2;1;"2025-01-02 08:31:22";5.40;PAO;1
2;2;2;1;"2025-01-02 09:56:42";30.00;GASOLINA;1
3;2;2;1;"2025-01-02 12:40:18";150.00;"DIESEL CAMINHAO";1
4;2;2;1;"2025-01-02 13:32:49";6.50;ESQUEIRO;1
5;2;2;1;"2025-01-02 20:05:03";80.00;"DIARIA GABRIEL";1
6;2;2;1;"2025-01-02 20:11:49";1120.00;FC;1
7;2;2;1;"2025-01-02 20:12:54";300.00;FC;1
8;2;2;3;"2025-01-02 20:16:21";585.00;Débito;1
9;3;2;1;"2025-01-03 08:42:46";8.00;PAO;1
10;3;2;1;"2025-01-03 08:59:41";8.00;MARGARINA;1
11;3;2;1;"2025-01-03 14:57:41";1250.00;DINHEIRO;1
12;3;2;1;"2025-01-03 16:32:06";30.00;"GASOLINA STRADA";1
13;3;2;1;"2025-01-03 17:28:09";7.00;"PLUGUE MACHO 2P";1
14;3;2;1;"2025-01-03 19:11:59";830.00;DINHEIRO;1
15;3;2;1;"2025-01-03 19:24:11";80.00;AJUDANTE;1
16;3;2;1;"2025-01-03 20:01:50";500.00;DINHEIRO;1
17;3;2;4;"2025-01-03 20:07:18";355.00;Crédito;1
18;3;2;3;"2025-01-03 20:07:18";595.00;Débito;1
19;4;2;1;"2025-01-04 08:29:31";5.65;PAO;1
20;4;2;1;"2025-01-04 14:04:27";54.00;CADEADOS;1
21;4;2;1;"2025-01-04 16:29:25";1300.00;DINHEIRO;1
22;4;2;1;"2025-01-04 17:29:21";80.00;"PNEU DA MOTO";1
23;4;2;1;"2025-01-04 19:45:49";80.00;"Dia moto Gabriel";1
24;4;2;1;"2025-01-04 19:56:12";400.00;FC;1
25;4;2;4;"2025-01-04 20:10:51";120.00;Crédito;1
26;4;2;3;"2025-01-04 20:10:51";830.00;Débito;1
27;4;2;5;"2025-01-04 20:10:51";120.00;Pix;1
28;5;1;1;"2025-01-05 10:28:23";3.20;PAO;1
29;5;1;1;"2025-01-05 10:59:46";70.00;"CAMARA MOTO";1
30;5;1;1;"2025-01-05 12:25:22";55.00;"GASOLINA MOTO";1
31;5;1;1;"2025-01-05 13:54:19";80.00;"DIA MOTO GABRIEL";1
32;5;1;1;"2025-01-05 13:54:34";200.00;FC;1
33;5;1;4;"2025-01-05 13:54:41";235.00;Crédito;1
34;5;1;3;"2025-01-05 13:54:41";357.00;Débito;1
35;6;2;1;"2025-01-06 08:13:59";9.00;PAO;1
36;6;2;1;"2025-01-06 12:06:15";3400.00;FC;1
37;6;2;1;"2025-01-06 17:06:23";1650.00;FC;1
38;6;2;1;"2025-01-06 17:52:53";1.00;PAO;1
39;6;2;1;"2025-01-06 19:29:20";30.00;GASOLINA;1
40;6;2;1;"2025-01-06 19:29:59";51.25;CARTORIO;1
41;6;2;1;"2025-01-06 19:46:01";80.00;AJUDANTE;1
42;6;2;1;"2025-01-06 20:01:53";100.00;FC;1
43;6;2;4;"2025-01-06 20:06:57";465.00;Crédito;1
44;6;2;3;"2025-01-06 20:06:57";380.00;Débito;1
45;6;2;5;"2025-01-06 20:06:57";0.00;Pix;1
46;7;2;1;"2025-01-07 07:59:31";115.00;"PIX DO DIA 06.01.25 ";1
47;7;2;1;"2025-01-07 08:29:25";6.40;PAO;1
48;7;2;1;"2025-01-07 09:27:34";2.40;PAO;1
49;7;2;3;"2025-01-07 09:47:44";115.00;Débito;1
50;7;2;1;"2025-01-07 13:31:11";1700.00;FC;1
51;7;2;1;"2025-01-07 18:06:55";3.20;PAO;1
52;7;2;1;"2025-01-07 19:13:13";80.00;AJUDANTE;1
53;7;2;1;"2025-01-07 19:54:05";200.00;FC;1
54;7;2;1;"2025-01-07 19:56:53";21.45;"VALE JOSUEL";1
55;7;2;1;"2025-01-07 20:00:58";100.00;FC;1
56;7;2;4;"2025-01-07 20:09:42";240.00;Crédito;1
57;7;2;3;"2025-01-07 20:09:42";710.00;Débito;1
58;7;2;5;"2025-01-07 20:09:42";230.00;Pix;1
59;8;2;1;"2025-01-08 08:26:15";8.00;PAES;1
60;8;2;1;"2025-01-08 09:34:57";60.00;"GASOLINA MOTO";1
61;8;2;1;"2025-01-08 10:37:27";1.60;PAO;1
62;8;2;1;"2025-01-08 11:40:53";500.00;FC;1
63;8;2;1;"2025-01-08 15:44:05";1850.00;FC;1
64;8;2;1;"2025-01-08 15:45:39";1300.00;FC;1
65;8;2;1;"2025-01-08 17:17:08";700.00;FC;1
66;8;2;1;"2025-01-08 19:01:46";80.00;AJUDANTE;1
67;8;2;4;"2025-01-08 20:18:21";517.00;Crédito;1
68;8;2;3;"2025-01-08 20:18:21";825.00;Débito;1
69;9;2;1;"2025-01-09 12:49:18";2850.00;FC;1
70;9;2;1;"2025-01-09 13:07:00";1200.00;FC;1
71;9;2;1;"2025-01-09 13:47:06";13.50;"TERMINAL BATERIA UNIVERSAL DO CAMINHAO";1
72;9;2;1;"2025-01-09 15:48:46";500.00;FC;1
73;9;2;1;"2025-01-09 15:51:53";11.20;PAO;1
74;9;2;1;"2025-01-09 17:50:05";240.00;EXTINTOR;1
75;9;2;1;"2025-01-09 17:51:31";4.00;PAO;1
76;9;2;1;"2025-01-09 18:48:46";150.00;"SOLDAS NO CAMINHAO";1
77;9;2;1;"2025-01-09 18:56:54";80.00;AJUDANTE;1
78;9;2;1;"2025-01-09 20:22:07";85.00;PIX;1
79;9;2;3;"2025-01-09 20:23:57";810.00;Débito;1
80;10;2;1;"2025-01-10 08:13:01";8.00;PAO;1
81;10;2;1;"2025-01-10 14:18:48";50.00;GASOLINA;1
82;10;2;1;"2025-01-10 15:42:03";61.00;"GASOLINA MOTO -10,19 LITROS X 5,91 L";1
83;10;2;1;"2025-01-10 19:01:26";80.00;AJUDANTE;1
84;10;2;1;"2025-01-10 19:07:15";1400.00;FC;1
85;10;2;1;"2025-01-10 19:36:01";200.00;FC;1
86;10;2;4;"2025-01-10 19:58:11";240.00;Crédito;1
87;10;2;3;"2025-01-10 19:58:11";475.00;Débito;1
88;11;2;1;"2025-01-11 08:35:26";6.40;PAO;1
89;11;2;1;"2025-01-11 13:21:42";5700.00;FC;1
90;11;2;1;"2025-01-11 15:15:31";800.00;FC;1
91;11;2;1;"2025-01-11 17:37:39";600.00;FC;1
92;11;2;1;"2025-01-11 18:47:30";300.00;FC;1
93;11;2;1;"2025-01-11 18:59:30";80.00;AJUDANTE;1
94;11;2;1;"2025-01-11 19:42:55";90.00;"Joao vitor fez PIX e pegou dinheiro";1
95;11;2;4;"2025-01-11 19:59:36";235.00;Crédito;1
96;11;2;3;"2025-01-11 19:59:36";830.00;Débito;1
97;12;2;1;"2025-01-12 10:44:26";2.40;PAO;1
98;12;2;1;"2025-01-12 13:23:14";150.00;"3 POLOS BATERIA CAMINHAO";1
