tab_contasapagar_id_contasapagar;tab_contasapagar_id_contasapagarsetor;tab_contasapagar_id_entidade;tab_contasapagar_datacad;tab_contasapagar_descricao;tab_contasapagar_vencimento;tab_contasapagar_valor;tab_contasapagar_datapago;tab_contasapagar_valorpago;tab_contasapagar_obs
1;6;1;"2024-12-26 18:27:36";"Impressora 80mm Guilhotina Corte Automático Usb";"2025-01-01 00:00:00";218.35;"2025-01-01 00:00:00";218.35;
3;7;1;"2024-12-31 15:07:01";"300 Botijões com gás";"2025-01-08 00:00:00";23796.00;"2025-01-07 00:00:00";23796.00;
6;8;1;"2025-01-04 09:18:08";Pão;"2025-01-02 00:00:00";5.40;"2025-01-02 00:00:00";5.40;
7;4;1;"2025-01-04 09:18:22";"Gasolina strada";"2025-01-02 00:00:00";30.00;"2025-01-02 00:00:00";30.00;
8;4;1;"2025-01-04 09:18:33";"Diesel caminhão";"2025-01-02 00:00:00";150.00;"2025-01-02 00:00:00";150.00;
9;6;1;"2025-01-04 09:19:03";Esqueiro;"2025-01-02 00:00:00";6.50;"2025-01-02 00:00:00";6.50;
10;5;1;"2025-01-04 09:19:24";"Dia entregador Gabriel";"2025-01-02 00:00:00";80.00;"2025-01-02 00:00:00";80.00;
11;8;1;"2025-01-04 09:19:55";Pão;"2025-01-03 00:00:00";8.00;"2025-01-03 00:00:00";8.00;
12;8;1;"2025-01-04 09:20:05";Margarina;"2025-01-03 00:00:00";8.00;"2025-01-03 00:00:00";8.00;
13;4;1;"2025-01-04 09:20:20";"Gasolina Strada";"2025-01-03 00:00:00";30.00;"2025-01-03 00:00:00";30.00;
14;6;1;"2025-01-04 09:20:47";"Tomada macho para o ventilador";"2025-01-03 00:00:00";7.00;"2025-01-03 00:00:00";7.00;
15;5;1;"2025-01-04 09:21:17";"Dia entregador Gabriel";"2025-01-03 00:00:00";80.00;"2025-01-03 00:00:00";80.00;
17;7;2;"2025-01-04 19:54:16";"250 botijões com gás";"2025-01-13 00:00:00";19830.00;"2025-01-13 00:00:00";19830.00;
18;8;1;"2025-01-05 13:21:44";Pão;"2025-01-04 00:00:00";5.65;"2025-01-04 00:00:00";5.65;
19;6;1;"2025-01-05 13:22:02";"2 cadeados para o portão";"2025-01-04 00:00:00";54.00;"2025-01-04 00:00:00";54.00;
20;4;1;"2025-01-05 13:22:34";"Pneu traseiro para moto - Biro";"2025-01-04 00:00:00";80.00;"2025-01-04 00:00:00";80.00;
21;5;1;"2025-01-05 13:22:58";"Dia moto Gabriel";"2025-01-04 00:00:00";80.00;"2025-01-04 00:00:00";80.00;
22;8;1;"2025-01-05 13:23:30";Pao;"2025-01-05 00:00:00";3.20;"2025-01-05 00:00:00";3.20;
23;4;1;"2025-01-05 13:23:42";"Câmara traseira moto";"2025-01-05 00:00:00";70.00;"2025-01-05 00:00:00";70.00;
24;4;1;"2025-01-05 13:24:08";"Gasolina moto";"2025-01-05 00:00:00";55.00;"2025-01-05 00:00:00";55.00;
25;5;1;"2025-01-06 12:12:10";"Dia moto Gabriel";"2025-01-05 00:00:00";80.00;"2025-01-05 00:00:00";80.00;
26;7;2;"2025-01-06 19:53:18";"100 Botijões";"2025-01-14 00:00:00";7932.00;"2025-01-14 00:00:00";7932.00;
