tab_log_data;tab_log_log
"2024-12-24 15:17:57";"{""log"": ""preco"", ""promocao"": false, ""id_produto"": 1, ""preco_novo"": 116.99, ""id_entidade"": 1, ""preco_anterior"": 0}"
"2024-12-26 10:06:44";"{""log"": ""preco"", ""promocao"": false, ""id_produto"": 1, ""preco_novo"": 120, ""id_entidade"": 2, ""preco_anterior"": 116.99}"
"2024-12-27 13:55:48";"{""log"": ""preco"", ""promocao"": false, ""id_produto"": 3, ""preco_novo"": 50, ""id_entidade"": 1, ""preco_anterior"": 0}"
"2024-12-27 14:00:26";"{""log"": ""preco"", ""promocao"": false, ""id_produto"": 3, ""preco_novo"": 60, ""id_entidade"": 1, ""preco_anterior"": 50}"
"2024-12-27 14:01:55";"{""log"": ""preco"", ""promocao"": false, ""id_produto"": 3, ""preco_novo"": 50, ""id_entidade"": 1, ""preco_anterior"": 60}"
"2024-12-27 14:02:02";"{""log"": ""preco"", ""promocao"": false, ""id_produto"": 3, ""preco_novo"": 60, ""id_entidade"": 1, ""preco_anterior"": 50}"
"2024-12-28 09:20:21";"{""log"": ""preco"", ""promocao"": false, ""id_produto"": 2, ""preco_novo"": 400, ""id_entidade"": 1, ""preco_anterior"": 0}"
"2024-12-28 17:28:11";"{""log"": ""preco"", ""promocao"": false, ""id_produto"": 2, ""preco_novo"": 420, ""id_entidade"": 1, ""preco_anterior"": 400}"
"2024-12-29 10:56:19";"{""log"": ""preco"", ""promocao"": false, ""id_produto"": 4, ""preco_novo"": 200, ""id_entidade"": 1, ""preco_anterior"": 0}"
"2024-12-31 10:00:25";"{""log"": ""estorno_venda"", ""obs"": ""teste"", ""id_venda"": 3, ""id_entidade"": 2}"
"2024-12-31 16:13:52";"{""log"": ""produto_estoque_add"", ""obs"": """", ""qtd"": 54, ""custoun"": 79.32, ""id_produto"": 1, ""id_entidade"": 1}"
"2024-12-31 16:14:19";"{""log"": ""produto_estoque_add"", ""obs"": """", ""qtd"": 452, ""custoun"": 0, ""id_produto"": 4, ""id_entidade"": 1}"
"2024-12-31 16:32:06";"{""log"": ""limite"", ""valor"": 85, ""id_cliente"": 13, ""id_entidade"": 2}"
"2024-12-31 16:33:58";"{""log"": ""limite"", ""valor"": 120, ""id_cliente"": 14, ""id_entidade"": 2}"
"2024-12-31 16:44:05";"{""log"": ""limite"", ""valor"": 120, ""id_cliente"": 17, ""id_entidade"": 2}"
"2024-12-31 16:46:39";"{""log"": ""estorno_item"", ""id_venda"": 5, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2024-12-31 16:47:32";"{""log"": ""estorno_item"", ""id_venda"": 5, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2024-12-31 16:52:23";"{""log"": ""limite"", ""valor"": 120, ""id_cliente"": 18, ""id_entidade"": 2}"
"2024-12-31 17:40:25";"{""log"": ""produto_estoque_add"", ""obs"": """", ""qtd"": 6, ""custoun"": 28, ""id_produto"": 3, ""id_entidade"": 2}"
"2024-12-31 17:40:40";"{""log"": ""preco"", ""promocao"": false, ""id_produto"": 3, ""preco_novo"": 50, ""id_entidade"": 2, ""preco_anterior"": 60}"
"2024-12-31 18:34:58";"{""log"": ""limite"", ""valor"": 120, ""id_cliente"": 21, ""id_entidade"": 2}"
"2025-01-01 17:11:49";"{""log"": ""preco"", ""promocao"": false, ""id_produto"": 1, ""preco_novo"": 115, ""id_entidade"": 1, ""preco_anterior"": 120}"
"2025-01-02 08:30:11";"{""log"": ""estorno_item"", ""id_venda"": 10, ""id_entidade"": 2, ""id_vendaitem"": 1}"
"2025-01-02 08:30:55";"{""log"": ""estorno_venda"", ""obs"": ""teste"", ""id_venda"": 10, ""id_entidade"": 1}"
"2025-01-02 09:22:05";"{""log"": ""limite"", ""valor"": 120, ""id_cliente"": 27, ""id_entidade"": 2}"
"2025-01-02 09:28:38";"{""log"": ""limite"", ""valor"": 105, ""id_cliente"": 28, ""id_entidade"": 2}"
"2025-01-02 09:43:32";"{""log"": ""limite"", ""valor"": 120, ""id_cliente"": 29, ""id_entidade"": 2}"
"2025-01-02 10:15:52";"{""log"": ""limite"", ""valor"": 120, ""id_cliente"": 32, ""id_entidade"": 2}"
"2025-01-02 10:26:58";"{""log"": ""estorno_item"", ""id_venda"": 19, ""id_entidade"": 1, ""id_vendaitem"": 1}"
"2025-01-02 10:34:37";"{""log"": ""limite"", ""valor"": 115, ""id_cliente"": 35, ""id_entidade"": 2}"
"2025-01-02 10:37:46";"{""log"": ""limite"", ""valor"": 120, ""id_cliente"": 36, ""id_entidade"": 2}"
"2025-01-02 10:55:53";"{""log"": ""limite"", ""valor"": 94, ""id_cliente"": 38, ""id_entidade"": 2}"
"2025-01-02 11:48:34";"{""log"": ""estorno_venda"", ""obs"": ""Não precisa"", ""id_venda"": 29, ""id_entidade"": 1}"
"2025-01-02 12:27:44";"{""log"": ""limite"", ""valor"": 120, ""id_cliente"": 44, ""id_entidade"": 2}"
"2025-01-02 12:42:55";"{""log"": ""limite"", ""valor"": 115, ""id_cliente"": 45, ""id_entidade"": 2}"
