tab_venda_id_venda;tab_venda_id_vendastatus;tab_venda_id_entidade;tab_venda_id_colaborador;tab_venda_id_caixa;tab_venda_data;tab_venda_frete;tab_venda_valor_servico;tab_venda_obs;tab_venda_mesa;tab_venda_versao
1;5;6;2;;"2024-12-26 10:10:55";0.00;0.00;;;0
2;5;7;2;;"2024-12-26 10:12:55";0.00;0.00;;;0
3;2;6;2;1;"2024-12-31 09:59:58";0.00;0.00;;;0
4;5;14;2;;"2024-12-31 16:35:01";0.00;0.00;;;0
5;5;17;2;;"2024-12-31 16:45:13";0.00;0.00;;;0
6;5;18;2;;"2024-12-31 16:53:35";0.00;0.00;;;0
7;1;;2;;"2024-12-31 16:58:49";0.00;0.00;;;0
8;5;19;2;;"2024-12-31 17:04:18";0.00;0.00;;;0
9;5;21;2;;"2024-12-31 18:35:01";0.00;0.00;;;0
10;2;;2;2;"2025-01-02 08:30:03";0.00;0.00;;;0
11;5;24;1;;"2025-01-02 08:59:57";0.00;0.00;;;0
12;13;25;1;2;"2025-01-02 09:17:33";0.00;0.00;"1 troca";;0
13;5;27;2;;"2025-01-02 09:24:11";5.00;0.00;;;0
14;5;28;2;;"2025-01-02 09:30:54";0.00;0.00;;;0
15;5;29;2;;"2025-01-02 09:43:41";5.00;0.00;;;0
16;5;30;1;;"2025-01-02 09:50:06";0.00;0.00;;;0
17;5;31;1;2;"2025-01-02 10:03:21";0.00;0.00;;;0
18;5;32;2;;"2025-01-02 10:16:21";5.00;0.00;;;0
19;5;33;1;;"2025-01-02 10:21:20";0.00;0.00;;;0
20;5;34;1;;"2025-01-02 10:32:55";0.00;0.00;;;0
21;5;35;2;;"2025-01-02 10:34:40";0.00;0.00;;;0
22;5;36;2;;"2025-01-02 10:42:59";5.00;0.00;;;0
23;5;37;1;;"2025-01-02 10:49:59";0.00;0.00;;;0
24;5;38;2;;"2025-01-02 10:57:37";0.00;0.00;;;0
25;5;39;1;;"2025-01-02 11:06:33";0.00;0.00;;;0
26;5;40;1;;"2025-01-02 11:15:45";0.00;0.00;;;0
27;5;30;1;;"2025-01-02 11:26:18";0.00;0.00;;;0
28;13;42;1;2;"2025-01-02 11:37:04";0.00;0.00;;;0
29;6;42;1;2;"2025-01-02 11:47:36";5.00;0.00;;;0
30;5;44;2;;"2025-01-02 12:28:37";5.00;0.00;;;0
31;5;45;2;;"2025-01-02 12:43:10";0.00;0.00;;;0
32;5;46;2;;"2025-01-02 12:49:20";0.00;0.00;;;0
33;5;47;2;;"2025-01-02 13:57:08";0.00;0.00;;;0
34;5;48;2;;"2025-01-02 13:58:05";0.00;0.00;;;0
35;5;49;1;;"2025-01-02 14:13:30";0.00;0.00;;;0
36;5;50;2;;"2025-01-02 14:20:09";0.00;0.00;;;0
37;5;52;2;;"2025-01-02 14:51:50";0.00;0.00;;;0
38;5;53;2;;"2025-01-02 14:54:57";5.00;0.00;;;0
39;5;56;2;2;"2025-01-02 15:16:13";0.00;0.00;;;0
40;5;57;2;;"2025-01-02 16:09:53";5.00;0.00;;;0
41;2;;2;2;"2025-01-02 16:11:45";0.00;0.00;;;0
42;5;58;2;;"2025-01-02 16:48:31";0.00;0.00;;;0
43;6;59;2;2;"2025-01-02 18:00:43";0.00;0.00;;;0
44;1;;2;;"2025-01-02 19:38:08";0.00;0.00;;;0
45;1;;2;;"2025-01-03 09:41:12";0.00;0.00;;;0
46;5;62;2;;"2025-01-03 10:15:53";5.00;0.00;;;0
47;6;62;2;3;"2025-01-03 10:18:16";0.00;0.00;;;0
48;5;63;2;;"2025-01-03 11:12:36";5.00;0.00;;;0
49;5;60;2;3;"2025-01-03 11:19:00";0.00;0.00;;;0
50;1;;2;;"2025-01-03 11:37:53";0.00;0.00;;;0
51;2;;2;3;"2025-01-03 11:38:29";0.00;0.00;;;0
52;5;65;2;;"2025-01-03 11:45:23";5.00;0.00;;;0
53;5;66;2;;"2025-01-03 12:11:41";5.00;0.00;;;0
54;5;68;2;;"2025-01-03 13:13:52";5.00;0.00;;;0
55;5;69;2;;"2025-01-03 14:19:00";5.00;0.00;;;0
56;1;;2;;"2025-01-03 14:58:53";0.00;0.00;;;0
57;5;31;2;3;"2025-01-03 16:03:00";0.00;0.00;;;0
58;5;34;2;;"2025-01-03 16:23:12";0.00;0.00;;;0
59;5;71;2;;"2025-01-03 16:27:27";0.00;0.00;;;0
60;5;39;2;;"2025-01-03 16:35:01";0.00;0.00;;;0
61;13;42;2;3;"2025-01-03 16:36:43";0.00;0.00;;;0
62;5;72;2;;"2025-01-03 16:40:39";0.00;0.00;;;0
63;13;25;2;;"2025-01-03 16:44:38";0.00;0.00;;;0
64;5;74;2;;"2025-01-03 16:48:38";0.00;0.00;;;0
65;5;75;2;;"2025-01-03 16:51:25";0.00;0.00;;;0
66;5;76;2;;"2025-01-03 16:54:28";0.00;0.00;;;0
67;6;78;2;3;"2025-01-03 17:16:55";5.00;0.00;;;0
68;6;78;2;3;"2025-01-03 17:17:53";0.00;0.00;;;0
69;5;79;2;;"2025-01-03 18:11:27";0.00;0.00;;;0
70;2;;2;3;"2025-01-03 19:24:11";0.00;0.00;;;0
71;1;;2;;"2025-01-03 19:40:02";0.00;0.00;;;0
72;6;75;2;3;"2025-01-03 19:42:07";0.00;0.00;;;0
73;1;75;2;;"2025-01-03 19:42:31";0.00;0.00;;;0
74;5;81;2;;"2025-01-03 19:53:25";0.00;0.00;;;0
75;5;83;2;;"2025-01-03 19:57:04";5.00;0.00;;;0
76;6;31;2;4;"2025-01-03 20:09:00";0.00;0.00;;;0
77;1;;2;;"2025-01-04 08:16:11";0.00;0.00;;;0
78;5;85;2;4;"2025-01-04 09:56:51";0.00;0.00;;;0
79;1;;2;;"2025-01-04 11:18:49";0.00;0.00;;;0
80;5;87;2;;"2025-01-04 12:15:15";5.00;0.00;;;0
81;6;19;2;4;"2025-01-04 12:31:05";0.00;0.00;;;0
82;6;19;2;4;"2025-01-04 12:44:14";0.00;0.00;;;0
83;5;19;2;;"2025-01-04 12:47:07";0.00;0.00;;;0
84;1;;2;;"2025-01-04 12:54:20";0.00;0.00;;;0
85;5;19;2;;"2025-01-04 13:08:57";0.00;0.00;;;0
86;5;25;2;4;"2025-01-04 13:13:59";0.00;0.00;;;0
87;2;25;2;4;"2025-01-04 13:14:37";0.00;0.00;;;0
88;5;24;2;;"2025-01-04 13:26:11";0.00;0.00;;;0
89;5;30;2;;"2025-01-04 13:33:58";0.00;0.00;;;0
90;5;34;2;;"2025-01-04 13:36:05";0.00;0.00;;;0
91;13;42;2;4;"2025-01-04 13:39:04";0.00;0.00;;;0
92;5;88;2;;"2025-01-04 13:54:08";5.00;0.00;;;0
93;5;91;2;;"2025-01-04 13:58:50";5.00;0.00;;;0
94;5;92;2;;"2025-01-04 14:09:42";5.00;0.00;;;0
95;5;93;2;;"2025-01-04 14:15:12";5.00;0.00;;;0
96;5;85;2;4;"2025-01-04 14:28:38";0.00;0.00;;;0
97;1;;2;;"2025-01-04 14:36:50";0.00;0.00;;;0
98;5;94;2;;"2025-01-04 15:00:25";5.00;0.00;;;0
99;6;31;2;4;"2025-01-04 15:26:20";0.00;0.00;;;0
100;5;95;2;;"2025-01-04 15:34:43";5.00;0.00;;;0
101;5;96;2;;"2025-01-04 15:40:24";0.00;0.00;;;0
102;5;97;2;;"2025-01-04 15:47:37";0.00;0.00;;;0
103;5;76;2;;"2025-01-04 15:50:46";0.00;0.00;;;0
104;6;31;2;4;"2025-01-04 16:08:25";0.00;0.00;;;0
105;1;;2;;"2025-01-04 16:24:13";0.00;0.00;;;0
106;5;99;2;;"2025-01-04 16:51:36";5.00;0.00;;;0
107;5;100;2;;"2025-01-04 17:05:11";5.00;0.00;"ficou faltando a vazilha";;0
108;6;24;2;4;"2025-01-04 19:37:17";0.00;0.00;;;0
109;5;19;2;;"2025-01-04 20:06:37";0.00;0.00;;;0
110;5;19;2;;"2025-01-04 20:09:40";0.00;0.00;;;0
111;1;19;1;;"2025-01-05 09:44:58";0.00;0.00;;;0
112;5;56;2;5;"2025-01-05 09:47:54";0.00;0.00;;;0
113;1;19;1;;"2025-01-05 10:01:11";0.00;0.00;;;0
114;5;102;2;;"2025-01-05 10:43:01";5.00;0.00;;;0
115;5;103;2;;"2025-01-05 11:01:32";5.00;0.00;;;0
116;5;104;2;;"2025-01-05 11:50:49";0.00;0.00;;;0
117;5;105;2;;"2025-01-05 11:53:13";5.00;0.00;;;0
118;5;106;2;;"2025-01-05 11:54:10";5.00;0.00;;;0
119;1;;1;;"2025-01-05 12:00:30";0.00;0.00;;;0
