tab_vendaitem_id_vendaitem;tab_vendaitem_id_venda;tab_vendaitem_id_entidade;tab_vendaitem_id_produto;tab_vendaitem_id_produtotipo;tab_vendaitem_qtd;tab_vendaitem_preco;tab_vendaitem_desconto;tab_vendaitem_estornado;tab_vendaitem_obs;tab_vendaitem_complemento;tab_vendaitem_composicao
1;1;2;1;1;1.000;105.00;0.00;0;;;
1;2;2;1;1;1.000;120.00;0.00;0;;;
1;3;2;1;1;1.000;120.00;0.00;0;;;
1;4;2;1;1;1.000;120.00;0.00;0;;;
1;5;2;1;1;1.000;120.00;0.00;0;;;
1;6;2;1;1;1.000;120.00;0.00;0;;;
1;7;2;1;1;1.000;120.00;5.00;0;;;
1;8;2;1;1;2.000;85.00;0.00;0;;;
1;9;2;1;1;1.000;120.00;0.00;0;;;
1;10;2;2;1;1.000;420.00;0.00;1;;;
1;11;1;1;1;8.000;85.00;0.00;0;;;
1;12;1;1;1;10.000;85.00;0.00;0;;;
1;13;2;1;1;1.000;115.00;0.00;0;;;
1;14;2;1;1;1.000;105.00;0.00;0;;;
1;15;2;1;1;1.000;115.00;0.00;0;;;
1;16;1;1;1;2.000;85.00;0.00;0;;;
1;17;1;1;1;22.000;85.00;0.00;0;;;
1;18;2;1;1;1.000;115.00;0.00;0;;;
1;19;1;2;1;10.000;420.00;0.00;1;;;
1;20;1;1;1;10.000;85.00;0.00;0;;;
1;21;2;1;1;1.000;115.00;0.00;0;;;
1;22;2;1;1;1.000;115.00;0.00;0;;;
1;23;1;1;1;1.000;100.00;0.00;0;;;
1;24;2;1;1;2.000;94.00;0.00;0;;;
1;25;1;1;1;2.000;97.00;0.00;0;;;
1;26;1;1;1;2.000;87.00;0.00;0;;;
1;27;1;1;1;2.000;85.00;0.00;0;;;
1;28;1;1;1;1.000;105.00;0.00;0;;;
1;30;2;1;1;1.000;115.00;0.00;0;;;
1;31;2;1;1;1.000;115.00;0.00;0;;;
1;32;2;1;1;1.000;115.00;0.00;0;;;
